step,epoch,loss_ce,loss_lb,loss_total,tau_g,lr,elapsed_min
50,1,1.21126,1.00005,1.31127,0.9996,0.00017241,13.22
100,1,0.54418,1.00008,0.64419,0.9991,0.00019976,25.43
150,1,0.48009,1.00011,0.5801,0.9987,0.00019883,38.96
200,1,0.46063,1.00008,0.56063,0.9984,0.00019722,51.82
250,1,0.4403,1.00006,0.5403,0.9983,0.00019493,65.93
300,1,0.39258,1.00007,0.49258,0.9983,0.00019199,78.58
350,1,0.40628,1.00009,0.50629,0.9983,0.00018841,91.35
400,2,0.38708,1.01507,0.48859,0.9982,0.00018422,105.3
450,2,0.36249,1.00008,0.46249,0.9982,0.00017945,119.7
500,2,0.37381,1.00006,0.47381,0.9981,0.00017412,133.18
550,2,0.36778,1.00007,0.46779,0.9981,0.00016829,146.91
600,2,0.34813,1.00008,0.44814,0.9981,0.00016198,161.69
650,2,0.35834,1.00006,0.45834,0.9979,0.00015524,174.66
700,2,0.39182,1.00006,0.49182,0.9979,0.00014811,188.62
750,2,0.37863,1.00005,0.47864,0.9981,0.00014066,202.02
800,3,0.38814,1.01505,0.48964,0.9984,0.00013292,224.64
850,3,0.35256,1.00005,0.45256,0.9985,0.00012496,237.85
900,3,0.35202,1.00005,0.45203,0.9986,0.00011682,251.23
950,3,0.35084,1.00003,0.45084,0.9985,0.00010856,265.11
1000,3,0.33726,1.00002,0.43726,0.9985,0.00010025,277.86
1050,3,0.36675,1.00002,0.46675,0.9987,9.193e-05,292.06
1100,3,0.3543,1.00002,0.4543,0.9986,8.367e-05,307.42
1150,3,0.33729,1.00002,0.4373,0.9987,7.553e-05,321.3
1200,4,0.35837,1.01503,0.45987,0.9986,6.755e-05,335.36
1250,4,0.33592,1.00001,0.43592,0.9984,5.98e-05,349.92
1300,4,0.32348,1.00002,0.42348,0.9984,5.232e-05,363.84
1350,4,0.31242,1.00001,0.41242,0.9984,4.518e-05,379.38
1400,4,0.3041,1.00001,0.4041,0.9985,3.842e-05,395.11
1450,4,0.32599,1.00001,0.42599,0.9985,3.208e-05,409.39
1500,4,0.30347,1.00001,0.40347,0.9985,2.621e-05,424.25
1550,4,0.31597,1.00001,0.41597,0.9985,2.086e-05,441.38
1600,5,0.32032,1.01501,0.42182,0.9985,1.605e-05,455.72
1650,5,0.32146,1.0,0.42146,0.9985,1.182e-05,471.26
1700,5,0.31585,1.0,0.41585,0.9985,8.2e-06,485.55
1750,5,0.33343,1.0,0.43343,0.9985,5.22e-06,500.43
1800,5,0.33067,1.0,0.43067,0.9985,2.9e-06,517.55
1850,5,0.33325,1.0,0.43325,0.9985,1.25e-06,534.8
1900,5,0.31174,1.0,0.41174,0.9985,2.8e-07,553.09
