step,epoch,n_e1,n_e2,n_e3,n_e4,frac_e1,frac_e2,frac_e3,frac_e4
50,1,70,314,112,304,0.0875,0.3925,0.14,0.38
100,1,198,570,320,512,0.1237,0.3563,0.2,0.32
150,1,390,795,496,719,0.1625,0.3312,0.2067,0.2996
200,1,582,1003,720,895,0.1819,0.3134,0.225,0.2797
250,1,806,1147,944,1103,0.2015,0.2868,0.236,0.2757
300,1,1014,1307,1216,1263,0.2112,0.2723,0.2533,0.2631
350,1,1234,1466,1489,1411,0.2204,0.2618,0.2659,0.252
400,2,1491,1611,1755,1553,0.2326,0.2513,0.2738,0.2423
450,2,1769,1748,1992,1701,0.2454,0.2424,0.2763,0.2359
500,2,2006,1910,2244,1850,0.2504,0.2385,0.2801,0.231
550,2,2271,2070,2475,1994,0.2578,0.235,0.2809,0.2263
600,2,2589,2192,2691,2138,0.2694,0.2281,0.28,0.2225
650,2,2813,2350,2963,2284,0.2702,0.2257,0.2846,0.2194
700,2,3055,2508,3187,2460,0.2725,0.2237,0.2843,0.2194
750,2,3295,2668,3429,2618,0.2744,0.2221,0.2855,0.218
800,3,3583,2828,3605,2804,0.2795,0.2206,0.2812,0.2187
850,3,3807,3007,3845,2961,0.2795,0.2208,0.2823,0.2174
900,3,4040,3130,4140,3110,0.2802,0.2171,0.2871,0.2157
950,3,4311,3306,4349,3254,0.2832,0.2172,0.2857,0.2138
1000,3,4519,3450,4639,3412,0.2821,0.2154,0.2896,0.213
1050,3,4779,3579,4894,3568,0.2841,0.2128,0.291,0.2121
1100,3,5067,3732,5066,3755,0.2876,0.2118,0.2875,0.2131
1150,3,5317,3891,5305,3907,0.2887,0.2112,0.288,0.2121
1200,4,5553,4078,5513,4086,0.2888,0.2121,0.2867,0.2125
1250,4,5810,4235,5754,4231,0.2901,0.2114,0.2873,0.2112
1300,4,6062,4383,5991,4394,0.291,0.2104,0.2876,0.2109
1350,4,6401,4528,6173,4528,0.2959,0.2093,0.2854,0.2093
1400,4,6745,4664,6351,4670,0.3007,0.2079,0.2831,0.2082
1450,4,7025,4809,6587,4809,0.3024,0.207,0.2836,0.207
1500,4,7339,4946,6809,4936,0.3054,0.2058,0.2834,0.2054
1550,4,7581,5087,7079,5083,0.3053,0.2049,0.2851,0.2047
1600,5,7836,5238,7315,5251,0.3056,0.2043,0.2853,0.2048
1650,5,8137,5383,7529,5391,0.3078,0.2036,0.2848,0.2039
1700,5,8373,5550,7772,5545,0.3074,0.2037,0.2853,0.2036
1750,5,8594,5715,8011,5720,0.3065,0.2038,0.2857,0.204
1800,5,8883,5876,8215,5866,0.308,0.2037,0.2848,0.2034
1850,5,9095,6046,8427,6072,0.3068,0.204,0.2843,0.2049
1900,5,9296,6234,8653,6257,0.3054,0.2048,0.2843,0.2056
